¬ыплаты;—егмент;ƒата оплаты
55449,38;ядерные риски;21.03.2022
824865,07;ядерные риски;05.02.2017
235568,25;ядерные риски;04.07.2019
8418,9;ядерные риски;11.11.2020
49490,42;ядерные риски;28.04.2021
1374880,62;ядерные риски;11.08.2022
189439,73;ядерные риски;25.11.2018
2367780,85;ядерные риски;02.01.2019
1689553,72;ядерные риски;17.11.2018
1690410,56;ядерные риски;27.07.2020
2541083,54;ядерные риски;29.07.2018
6577229,75;ядерные риски;27.04.2020
38612065,47;ядерные риски;21.04.2019
339640,87;ядерные риски;06.01.2022
389589,4;ядерные риски;19.04.2018
49352,18;ядерные риски;25.11.2019
32599,01;ядерные риски;07.04.2021
22671,59;ядерные риски;18.07.2021
38804,36;ядерные риски;12.06.2018
11197,55;ядерные риски;29.12.2020
43476,92;ядерные риски;17.05.2021
6667,21;ядерные риски;11.03.2017
2814406,76;ядерные риски;26.06.2018
112678,05;ядерные риски;20.07.2021
335591,81;ядерные риски;30.06.2018
331423,06;ядерные риски;08.06.2022
17249,51;ядерные риски;26.01.2019
6478,02;ядерные риски;21.02.2020
15128,64;ядерные риски;26.11.2018
-85072,09;ядерные риски;18.07.2019
451613,53;ядерные риски;01.10.2022
17594,36;ядерные риски;30.07.2020
155702,53;ядерные риски;15.12.2018
5638,89;ядерные риски;10.01.2018
1718970,63;ядерные риски;06.12.2017
1198610,51;ядерные риски;15.05.2018
218263,77;ядерные риски;17.03.2017
347842,08;ядерные риски;12.01.2019
1961771,14;ядерные риски;07.03.2017
191748,36;ядерные риски;19.01.2019
21247,7;ядерные риски;26.02.2019
113319,18;ядерные риски;10.10.2021
113319,18;ядерные риски;13.08.2017
192571,55;ядерные риски;17.11.2018
192742,44;ядерные риски;04.11.2020
323522,58;ядерные риски;01.05.2022
21481,46;ядерные риски;28.12.2018
1218825,29;ядерные риски;23.12.2022
1955389,29;ядерные риски;10.10.2022
31418,24;ядерные риски;04.10.2018
33081,73;ядерные риски;23.01.2018
54793,86;ядерные риски;13.11.2019
7687,48;ядерные риски;26.08.2019
119299,66;ядерные риски;10.09.2018
42884,79;ядерные риски;10.11.2017
18851,1;ядерные риски;06.06.2019
58247,39;ядерные риски;29.06.2019
9325,01;ядерные риски;12.04.2021
20296,35;ядерные риски;02.02.2020
12475,04;ядерные риски;25.06.2022
4354,64;ядерные риски;15.10.2018
31864,64;ядерные риски;21.05.2021
11775,65;ядерные риски;04.11.2022
52318,09;ядерные риски;21.07.2019
138202,44;ядерные риски;08.08.2021
260327,41;ядерные риски;17.02.2019
41786,61;ядерные риски;08.06.2018
38951,09;ядерные риски;14.08.2020
50206,76;ядерные риски;12.10.2018
22271,47;ядерные риски;10.08.2019
165890,94;ядерные риски;14.11.2021
51274,99;ядерные риски;11.02.2020
125674;ядерные риски;31.05.2021
104446,4;ядерные риски;25.05.2019
52375,9;ядерные риски;20.07.2018
116499,8;ядерные риски;21.05.2019
65972,57;ядерные риски;11.05.2017
95180,46;ядерные риски;24.06.2020
84386,32;ядерные риски;10.07.2019
125674;ядерные риски;07.07.2017
121577,03;ядерные риски;09.10.2021
1048939,83;ядерные риски;29.10.2022
44771,36;ядерные риски;29.03.2019
59695,15;ядерные риски;25.01.2020
122505,33;ядерные риски;29.04.2018
38490,48;ядерные риски;16.06.2017
276482,8;ядерные риски;08.06.2018
55007,51;ядерные риски;06.02.2019
14590,75;ядерные риски;31.10.2021
1959,06;ядерные риски;02.09.2021
119390,3;ядерные риски;09.07.2021
628370;ядерные риски;20.02.2022
128214,02;ядерные риски;23.09.2019
133645,5;ядерные риски;13.08.2020
22319,77;ядерные риски;03.07.2017
153994,64;ядерные риски;28.02.2018
18956,67;ядерные риски;28.06.2022
669912,8;ядерные риски;17.02.2018
137702,26;ядерные риски;07.07.2020
43126,93;ядерные риски;21.06.2019
1838027,15;ядерные риски;04.08.2020
125674;ядерные риски;11.01.2018
118363,54;ядерные риски;15.07.2017
8241,7;ядерные риски;06.09.2017
138388,44;ядерные риски;20.04.2020
22753,28;ядерные риски;25.01.2019
12567,4;ядерные риски;12.03.2019
729702,89;ядерные риски;09.11.2022
51058,83;ядерные риски;04.02.2021
51557,76;ядерные риски;30.07.2022
119314,9;ядерные риски;06.04.2022
4456,26;ядерные риски;29.05.2017
37702,2;ядерные риски;06.07.2021
61917,07;ядерные риски;17.09.2019
251348;ядерные риски;30.11.2019
