;Итерация;Лейер;Выплаты;Доля_в_выплатах;Восст_прем
0;1;0;4087597,0;0,0;0,0
1;1;1;7395235,520000001;1600000,0;140280,0
2;1;2;1508088,0;8088,0;143,97
3;1;3;0,0;0,0;0,0
4;2;0;4331580,59;0,0;0,0
5;2;1;5591208,8999999985;1600000,0;140280,0
6;2;2;502696,0;2696,0;47,99
7;2;3;0,0;0,0;0,0
8;3;0;4632203,18;0,0;0,0
9;3;1;8597252,23;1600000,0;140280,0
10;3;2;1508088,0;8088,0;143,97
11;3;3;0,0;0,0;0,0
12;4;0;4550723,610000001;0,0;0,0
13;4;1;7245223,270000001;1600000,0;140280,0
14;4;2;4115823,5;115823,5;2061,66
15;4;3;0,0;0,0;0,0
16;5;0;4992105,09;0,0;0,0
17;5;1;6731298,640000001;1600000,0;140280,0
18;5;2;3644546,0;144546,0;2572,92
19;5;3;0,0;0,0;0,0
20;6;0;4587555,84;0,0;0,0
21;6;1;8999617,64;1600000,0;140280,0
22;6;2;2105039,5;105039,5;1869,7
23;6;3;0,0;0,0;0,0
24;7;0;4092706,5599999996;0,0;0,0
25;7;1;7165106,760000001;1600000,0;140280,0
26;7;2;502696,0;2696,0;47,99
27;7;3;0,0;0,0;0,0
28;8;0;4205624,29;0,0;0,0
29;8;1;6957448,96;1600000,0;140280,0
30;8;2;3141850,0;141850,0;2524,93
31;8;3;0,0;0,0;0,0
32;9;0;4929476,38;0,0;0,0
33;9;1;7596936,779999999;1600000,0;140280,0
34;9;2;1508088,0;8088,0;143,97
35;9;3;0,0;0,0;0,0
36;10;0;4707981,94;0,0;0,0
37;10;1;8818093,110000001;1600000,0;140280,0
38;10;2;1728017,5;228017,5;4058,71
39;10;3;0,0;0,0;0,0
40;11;0;3542416,330000001;0,0;0,0
41;11;1;5368584,1000000015;1600000,0;140280,0
42;11;2;1005392,0;5392,0;95,98
43;11;3;0,0;0,0;0,0
44;12;0;4613832,01;0,0;0,0
45;12;1;8213301,999999999;1600000,0;140280,0
46;12;2;1005392,0;5392,0;95,98
47;12;3;0,0;0,0;0,0
48;13;0;3935359,7899999996;0,0;0,0
49;13;1;6358701,100000001;1600000,0;140280,0
50;13;2;502696,0;2696,0;47,99
51;13;3;0,0;0,0;0,0
52;14;0;4660786,059999999;0,0;0,0
53;14;1;9473433,69;1600000,0;140280,0
54;14;2;1508088,0;8088,0;143,97
55;14;3;0,0;0,0;0,0
56;15;0;4139649,76;0,0;0,0
57;15;1;8851191,65;1600000,0;140280,0
58;15;2;502696,0;2696,0;47,99
59;15;3;0,0;0,0;0,0
60;16;0;5841271,93;0,0;0,0
61;16;1;9492971,22;1600000,0;140280,0
62;16;2;1508088,0;8088,0;143,97
63;16;3;0,0;0,0;0,0
64;17;0;4334752,970000001;0,0;0,0
65;17;1;7642336,57;1600000,0;140280,0
66;17;2;3016176,0;16176,0;287,93
67;17;3;0,0;0,0;0,0
68;18;0;5178777,680000002;0,0;0,0
69;18;1;11136049,050000003;1600000,0;140280,0
70;18;2;3016176,0;16176,0;287,93
71;18;3;0,0;0,0;0,0
72;19;0;4460696,91;0,0;0,0
73;19;1;4917650,96;1600000,0;140280,0
74;19;2;502696,0;2696,0;47,99
75;19;3;0,0;0,0;0,0
76;20;0;4510020,639999999;0,0;0,0
77;20;1;8266699,36;1600000,0;140280,0
78;20;2;1602343,5;102343,5;1821,71
79;20;3;0,0;0,0;0,0
80;21;0;4604230,239999999;0,0;0,0
81;21;1;9566143,91;1600000,0;140280,0
82;21;2;502696,0;2696,0;47,99
83;21;3;0,0;0,0;0,0
84;22;0;3306439,81;0,0;0,0
85;22;1;4276001,01;1600000,0;140280,0
86;22;2;2105039,5;105039,5;1869,7
87;22;3;0,0;0,0;0,0
88;23;0;4101862,880000001;0,0;0,0
89;23;1;7072488,579999999;1600000,0;140280,0
90;23;2;2105039,5;105039,5;1869,7
91;23;3;0,0;0,0;0,0
92;24;0;4658920,85;0,0;0,0
93;24;1;7131930,319999999;1600000,0;140280,0
94;24;2;1696599,0;196599,0;3499,46
95;24;3;0,0;0,0;0,0
96;25;0;5100188,430000001;0,0;0,0
97;25;1;6686178,580000001;1600000,0;140280,0
98;25;2;3110431,5;110431,5;1965,68
99;25;3;0,0;0,0;0,0
100;26;0;3883236,8400000003;0,0;0,0
101;26;1;6619445,62;1600000,0;140280,0
102;26;2;502696,0;2696,0;47,99
103;26;3;0,0;0,0;0,0
104;27;0;3790421,4000000004;0,0;0,0
105;27;1;7604660,08;1600000,0;140280,0
106;27;2;3518872,0;18872,0;335,92
107;27;3;0,0;0,0;0,0
108;28;0;3485032,1199999996;0,0;0,0
109;28;1;8738902,700000001;1600000,0;140280,0
110;28;2;2607735,5;107735,5;1917,69
111;28;3;0,0;0,0;0,0
112;29;0;4214456,130000001;0,0;0,0
113;29;1;7655724,550000001;1600000,0;140280,0
114;29;2;3518872,0;18872,0;335,92
115;29;3;0,0;0,0;0,0
116;30;0;3597480,1199999996;0,0;0,0
117;30;1;7591306,52;1600000,0;140280,0
118;30;2;2105039,5;1105039,5;19669,7
119;30;3;6351582,01;3500000,0;150500,0
120;31;0;4215974,81;0,0;0,0
121;31;1;7138586,049999999;1600000,0;140280,0
122;31;2;1728017,5;228017,5;4058,71
123;31;3;0,0;0,0;0,0
124;32;0;4769992,78;0,0;0,0
125;32;1;6317956,2299999995;1600000,0;140280,0
126;32;2;2513480,0;13480,0;239,94
127;32;3;0,0;0,0;0,0
128;33;0;3909316,9999999995;0,0;0,0
129;33;1;7468299,54;1600000,0;140280,0
130;33;2;1005392,0;5392,0;95,98
131;33;3;0,0;0,0;0,0
132;34;0;4337846,649999999;0,0;0,0
133;34;1;10118164,869999997;1600000,0;140280,0
134;34;2;502696,0;2696,0;47,99
135;34;3;0,0;0,0;0,0
136;35;0;3851589,6799999997;0,0;0,0
137;35;1;10306642,329999998;1600000,0;140280,0
138;35;2;1508088,0;8088,0;143,97
139;35;3;0,0;0,0;0,0
140;36;0;4035673,8000000003;0,0;0,0
141;36;1;7458491,9399999995;1600000,0;140280,0
142;36;2;1508088,0;8088,0;143,97
143;36;3;0,0;0,0;0,0
144;37;0;4115950,8500000006;0,0;0,0
145;37;1;10171564,129999999;1600000,0;140280,0
146;37;2;2010784,0;10784,0;191,96
147;37;3;0,0;0,0;0,0
148;38;0;4347169,51;0,0;0,0
149;38;1;9472484,55;1600000,0;140280,0
150;38;2;1602343,5;102343,5;1821,71
151;38;3;0,0;0,0;0,0
152;39;0;3623155,9299999992;0,0;0,0
153;39;1;7126774,55;1600000,0;140280,0
154;39;2;2513480,0;13480,0;239,94
155;39;3;0,0;0,0;0,0
156;40;0;4852649,16;0,0;0,0
157;40;1;8568418,92;1600000,0;140280,0
158;40;2;502696,0;2696,0;47,99
159;40;3;0,0;0,0;0,0
160;41;0;4242729,590000001;0,0;0,0
161;41;1;9658718,010000002;1600000,0;140280,0
162;41;2;2513480,0;13480,0;239,94
163;41;3;0,0;0,0;0,0
164;42;0;4657718,73;0,0;0,0
165;42;1;10189626,570000002;1600000,0;140280,0
166;42;2;1005392,0;5392,0;95,98
167;42;3;0,0;0,0;0,0
168;43;0;5615142,54;0,0;0,0
169;43;1;8623347,53;1600000,0;140280,0
170;43;2;620578,21;120578,20999999996;2146,29
171;43;3;0,0;0,0;0,0
172;44;0;3283571,62;0,0;0,0
173;44;1;9249125,440000001;1600000,0;140280,0
174;44;2;1633762,0;133762,0;2380,96
175;44;3;0,0;0,0;0,0
176;45;0;3902259,2800000003;0,0;0,0
177;45;1;8973779,58;1600000,0;140280,0
178;45;2;1508088,0;8088,0;143,97
179;45;3;0,0;0,0;0,0
180;46;0;3660173,5799999996;0,0;0,0
181;46;1;6653064,52;1600000,0;140280,0
182;46;2;1217529,71;1217529,71;21672,03
183;46;3;6351582,01;3500000,0;150500,0
184;47;0;4186310,4899999998;0,0;0,0
185;47;1;7398897,3100000005;1600000,0;140280,0
186;47;2;502696,0;2696,0;47,99
187;47;3;0,0;0,0;0,0
188;48;0;5069172,770000001;0,0;0,0
189;48;1;7550140,000000001;1600000,0;140280,0
190;48;2;2010784,0;10784,0;191,96
191;48;3;0,0;0,0;0,0
192;49;0;3963941,3300000005;0,0;0,0
193;49;1;8437870,44;1600000,0;140280,0
194;49;2;2010784,0;10784,0;191,96
195;49;3;0,0;0,0;0,0
196;50;0;5207016,170000001;0,0;0,0
197;50;1;6832287,19;1600000,0;140280,0
198;50;2;5623911,5;123911,5;2205,62
199;50;3;0,0;0,0;0,0
200;51;0;4247705,5;0,0;0,0
201;51;1;8598137,440000001;1600000,0;140280,0
202;51;2;2128666,21;128666,20999999996;2290,26
203;51;3;0,0;0,0;0,0
204;52;0;3463832,8;0,0;0,0
205;52;1;8684844,25;1600000,0;140280,0
206;52;2;2356387,5;356387,5;6343,7
207;52;3;0,0;0,0;0,0
208;53;0;3745256,03;0,0;0,0
209;53;1;8827512,249999998;1600000,0;140280,0
210;53;2;1005392,0;5392,0;95,98
211;53;3;0,0;0,0;0,0
212;54;0;4636171,19;0,0;0,0
213;54;1;6718553,76;1600000,0;140280,0
214;54;2;502696,0;2696,0;47,99
215;54;3;0,0;0,0;0,0
216;55;0;4300908,6;0,0;0,0
217;55;1;7429593,73;1600000,0;140280,0
218;55;2;1005392,0;5392,0;95,98
219;55;3;0,0;0,0;0,0
220;56;0;4116396,5499999993;0,0;0,0
221;56;1;5946772,97;1600000,0;140280,0
222;56;2;1508088,0;8088,0;143,97
223;56;3;0,0;0,0;0,0
224;57;0;3441679,95;0,0;0,0
225;57;1;5235856,549999999;1600000,0;140280,0
226;57;2;0,0;0,0;0,0
227;57;3;0,0;0,0;0,0
228;58;0;3597178,14;0,0;0,0
229;58;1;8485853,27;1600000,0;140280,0
230;58;2;0,0;0,0;0,0
231;58;3;0,0;0,0;0,0
232;59;0;4247154,430000001;0,0;0,0
233;59;1;6328098,3;1600000,0;140280,0
234;59;2;1005392,0;5392,0;95,98
235;59;3;0,0;0,0;0,0
236;60;0;3901740,9099999997;0,0;0,0
237;60;1;6356975,23;1600000,0;140280,0
238;60;2;628370,0;128370,0;2284,99
239;60;3;0,0;0,0;0,0
240;61;0;3393304,94;0,0;0,0
241;61;1;9624711,120000001;1600000,0;140280,0
242;61;2;596951,5;96951,5;1725,74
243;61;3;0,0;0,0;0,0
244;62;0;4474187,010000001;0,0;0,0
245;62;1;9268980,729999999;1600000,0;140280,0
246;62;2;1005392,0;5392,0;95,98
247;62;3;0,0;0,0;0,0
