;0
0;25511,82
1;32675,24
2;138744,1
3;47630,45
4;80601,5
5;14075,49
6;29282,04
7;133465,79
8;3393,2
9;12567,4
10;31795,52
11;94751,91
12;61077,56
13;125674,0
14;11649,98
15;16211,95
16;628370,0
17;421887,62
18;40379,06
19;85458,32
20;42226,46
21;289427,22
22;43985,9
23;26140,19
24;99031,11
25;317703,87
26;14578,18
27;23940,9
28;22772,13
29;34531,19
30;15206,55
31;178205,73
32;69874,74
33;61551,17
34;19228,12
35;142137,29
36;17343,01
37;294617,56
38;126264,67
39;382941,25
40;119754,75
41;87971,8
42;190521,78
43;10330,4
44;73217,67
45;21615,93
46;81311,08
47;115368,73
48;68869,35
49;502696,0
50;77413,93
51;165335,46
52;49427,58
53;5491,95
54;12693,07
55;125674,0
56;61831,61
57;89605,56
58;43860,23
59;43234,09
60;15206,55
61;9802,57
62;37576,53
63;60072,17
64;16337,62
65;212137,71
66;41913,89
67;27145,58
68;57810,04
69;125674,0
70;30790,13
71;83509,83
72;53406,1
73;8758,47
74;397129,84
75;76786,81
76;106779,38
77;75907,1
78;96894,65
79;2764,83
80;9425,55
81;19856,49
82;37325,18
83;403413,54
84;125674,0
85;58061,39
86;7226,26
87;79551,64
88;113609,3
89;2387,81
90;10053,92
91;46500,64
92;46750,73
93;42352,14
94;23878,06
95;27773,95
96;20359,19
97;66217,63
98;10807,96
99;368224,82
100;435584,83
101;225836,18
102;490882,64
103;502696,0
104;84629,5
105;117756,54
106;72262,55
107;502696,0
108;53034,43
109;33554,96
110;188882,3
111;21364,58
112;11717,22
113;7791,79
114;5152,63
115;19102,45
116;57558,69
117;11184,99
118;31520,77
119;21364,58
120;879,72
121;63968,07
122;31669,85
123;154704,69
124;95386,57
125;30601,62
126;57810,04
127;194794,7
128;32549,57
129;125674,0
130;11599,58
131;62547,95
132;122909,17
133;99282,46
134;30237,16
135;97774,37
136;13824,14
137;8043,14
138;52531,73
139;22621,32
140;170790,97
141;38468,53
142;21113,23
143;18851,1
144;95637,91
145;50269,6
146;15480,77
147;445314,11
148;122657,82
149;18222,73
150;19479,47
151;28905,02
152;105817,51
153;34560,35
154;179952,6
155;63311,42
156;63339,7
157;34874,54
158;100539,2
159;61454,59
160;240414,36
161;239876,48
162;64973,46
163;48761,51
164;4901,29
165;125674,0
166;222065,96
167;192029,87
168;102795,05
169;62711,33
170;38958,94
171;33121,99
172;452426,4
173;62661,06
174;125674,0
175;93598,68
176;52970,12
177;66607,22
178;13824,14
179;130631,84
180;233376,62
181;61930,59
182;11939,03
183;233301,21
184;11373,5
185;29860,14
186;273466,62
187;125674,0
188;29533,39
189;26265,87
190;50646,62
191;125674,0
192;33052,26
193;26079,87
194;10820,53
195;54291,17
196;49012,86
197;35565,74
198;23249,69
199;28345,77
200;57558,69
201;68890,82
202;27391,18
203;314826,57
204;104937,79
205;43594,97
206;110639,41
207;6974,91
208;33554,96
209;125674,0
210;83698,88
211;125674,0
212;95512,24
213;47379,1
214;97271,68
215;67235,59
216;25197,64
217;25197,64
218;134345,51
219;94758,2
220;49012,86
221;27522,61
222;5969,52
223;68240,98
224;22872,67
225;27522,61
226;9111,37
227;36948,16
228;11562,01
229;18976,77
230;45116,97
231;12441,73
232;127936,13
233;31041,48
234;12693,07
235;202460,81
236;274918,16
237;308906,69
238;41158,24
239;53662,8
240;65727,5
241;365962,69
242;19353,8
243;44614,27
244;148911,12
245;5341,15
246;15293,27
247;48887,19
248;111158,65
249;88223,15
250;52657,41
251;116876,82
252;59946,5
253;55045,21
254;438099,56
255;502696,0
256;142514,32
257;49294,37
258;100870,4
259;65853,18
260;112352,56
261;79048,95
262;44111,57
263;9802,57
264;85458,32
265;45016,43
266;90698,93
267;18112,14
268;9901,1
269;39964,33
270;34937,37
271;125674,0
272;402031,13
273;125674,0
274;14341,92
275;125674,0
276;33258,77
277;201329,75
278;12190,38
279;54159,21
280;314,19
281;81637,83
282;87971,8
283;50395,27
284;76284,12
285;169157,2
286;367294,83
287;139630,73
288;139630,73
289;200324,36
290;18851,1
291;19102,45
292;80431,36
293;45493,99
294;27522,61
295;15080,88
296;188511,0
297;319086,29
298;32549,57
299;14578,18
300;5026,96
301;146033,19
302;23878,06
303;502696,0
304;59569,48
305;13509,96
306;13447,12
307;91390,13
308;9676,9
309;178959,78
310;185871,85
311;40467,03
312;122532,15
313;37450,85
314;36948,16
315;24129,41
316;30664,46
317;147918,3
318;18474,08
319;79693,89
320;14075,49
321;11939,03
322;218760,73
323;157218,17
324;48133,14
325;65224,81
326;10469,55
327;34748,86
328;21490,25
329;14201,16
330;26768,56
331;58187,06
332;89737,8
333;39587,31
334;28658,69
335;43885,36
336;39335,96
337;72938,16
338;15080,88
339;22621,32
340;12146,39
341;15583,58
342;72262,55
343;20107,84
344;48888,29
345;70000,42
346;87846,13
347;54542,52
348;51903,36
349;107576,94
350;26454,38
351;51777,69
352;125674,0
353;62393,95
354;53034,43
355;17217,34
