Итерация;Выплаты;Доля_в_выплатах;Восст_прем;Премия_Re;Фин_рез;Процент_доли
1;12990920,520000001;1608088,0;140423,97;4000000,0;2532335,97;0,12378553140435962
2;10425485,489999998;1602696,0;140327,99;4000000,0;2537631,99;0,15372866822722903
3;14737543,41;1608088,0;140423,97;4000000,0;2532335,97;0,10911506451671242
4;15911770,380000003;1715823,5;142341,66;4000000,0;2426518,16;0,1078336011030345
5;15367949,73;1744546,0;142852,92;4000000,0;2398306,92;0,11351846086498098
6;15692212,98;1705039,5;142149,7;4000000,0;2437110,2;0,10865513373882336
7;11760509,32;1602696,0;140327,99;4000000,0;2537631,99;0,136277771344005
8;14304923,25;1741850,0;142804,93;4000000,0;2400954,93;0,1217657703965661
9;14034501,16;1608088,0;140423,97;4000000,0;2532335,97;0,11458105861170487
10;15254092,55;1828017,5;144338,71;4000000,0;2316321,21;0,11983783984580583
11;9916392,430000003;1605392,0;140375,98;4000000,0;2534983,98;0,16189274590860453
12;13832526,009999998;1605392,0;140375,98;4000000,0;2534983,98;0,1160592070341605
13;10796756,89;1602696,0;140327,99;4000000,0;2537631,99;0,14844235322964652
14;15642307,749999998;1608088,0;140423,97;4000000,0;2532335,97;0,10280375668992961
15;13493537,41;1602696,0;140327,99;4000000,0;2537631,99;0,11877508108527933
16;16842331,15;1608088,0;140423,97;4000000,0;2532335,97;0,09547894443341355
17;14993265,540000001;1616176,0;140567,93;4000000,0;2524391,93;0,10779346205056273
18;19331002,730000004;1616176,0;140567,93;4000000,0;2524391,93;0,0836053888447203
19;9881043,870000001;1602696,0;140327,99;4000000,0;2537631,99;0,16219905721357755
20;14379063,5;1702343,5;142101,71;4000000,0;2439758,21;0,11839042925152948
21;14673070,149999999;1602696,0;140327,99;4000000,0;2537631,99;0,1092270386235426
22;9687480,32;1705039,5;142149,7;4000000,0;2437110,2;0,1760044349695257
23;13279390,96;1705039,5;142149,7;4000000,0;2437110,2;0,12839741710564112
24;13487450,169999998;1796599,0;143779,46;4000000,0;2347180,46;0,1332052372653919
25;14896798,510000002;1710431,5;142245,68;4000000,0;2431814,18;0,11481873094086709
26;11005378,46;1602696,0;140327,99;4000000,0;2537631,99;0,14562843120980684
27;14913953,48;1618872,0;140615,92;4000000,0;2521743,92;0,10854747550144564
28;14831670,32;1707735,5;142197,69;4000000,0;2434462,19;0,11514114480397916
29;15389052,680000002;1618872,0;140615,92;4000000,0;2521743,92;0,10519633883012998
30;19645408,15;6205039,5;310449,7;4000000,0;-1894589,7999999998;0,3158519004859668
31;13082578,36;1828017,5;144338,71;4000000,0;2316321,21;0,13972914586846014
32;13601429,01;1613480,0;140519,94;4000000,0;2527039,94;0,11862577077847793
33;12383008,54;1605392,0;140375,98;4000000,0;2534983,98;0,1296447462516246
34;14958707,519999996;1602696,0;140327,99;4000000,0;2537631,99;0,10714134211509742
35;15666320,009999998;1608088,0;140423,97;4000000,0;2532335,97;0,1026461861479619
36;13002253,74;1608088,0;140423,97;4000000,0;2532335,97;0,12367763559734991
37;16298298,98;1610784,0;140471,96;4000000,0;2529687,96;0,09883141805022894
38;15421997,56;1702343,5;142101,71;4000000,0;2439758,21;0,11038411161569396
39;13263410,479999999;1613480,0;140519,94;4000000,0;2527039,94;0,12164895314315871
40;13923764,08;1602696,0;140327,99;4000000,0;2537631,99;0,11510508155636605
41;16414927,600000001;1613480,0;140519,94;4000000,0;2527039,94;0,09829345820568833
42;15852737,300000003;1605392,0;140375,98;4000000,0;2534983,98;0,10126907231346095
43;14859068,280000001;1720578,21;142426,29;4000000,0;2421848,08;0,11579314244863272
44;14166459,060000002;1733762,0;142660,96;4000000,0;2408898,96;0,12238499350168593
45;14384126,86;1608088,0;140423,97;4000000,0;2532335,97;0,11179601067561776
46;17882349,82;6317529,71;312452,03;4000000,0;-2005077,6799999997;0,35328297307629786
47;12087903,8;1602696,0;140327,99;4000000,0;2537631,99;0,13258675999721306
48;14630096,770000003;1610784,0;140471,96;4000000,0;2529687,96;0,11010070714658708
49;14412595,77;1610784,0;140471,96;4000000,0;2529687,96;0,11176224086939754
50;17663214,86;1723911,5;142485,62;4000000,0;2418574,12;0,09759896562793666
51;14974509,150000002;1728666,21;142570,26;4000000,0;2413904,05;0,11544059258863919
52;14505064,55;1956387,5;146623,7;4000000,0;2190236,2;0,13487616640768413
53;13578160,279999997;1605392,0;140375,98;4000000,0;2534983,98;0,11823339590155436
54;11857420,95;1602696,0;140327,99;4000000,0;2537631,99;0,13516396244665668
55;12735894,33;1605392,0;140375,98;4000000,0;2534983,98;0,12605255338986468
56;11571257,52;1608088,0;140423,97;4000000,0;2532335,97;0,13897262222541912
57;8677536,5;1600000,0;140280,0;4000000,0;2540280,0;0,1843841279146449
58;12083031,41;1600000,0;140280,0;4000000,0;2540280,0;0,13241710177760765
59;11580644,73;1605392,0;140375,98;4000000,0;2534983,98;0,13862716950820406
60;10887086,14;1728370,0;142564,99;4000000,0;2414194,99;0,15875414025152554
61;13614967,56;1696951,5;142005,74;4000000,0;2445054,24;0,12463867376265712
62;14748559,739999998;1605392,0;140375,98;4000000,0;2534983,98;0,10885076429842634
63;12307931,580000002;1605392,0;140375,98;4000000,0;2534983,98;0,13043556421850044
64;16103529,93;1610784,0;140471,96;4000000,0;2529687,96;0,10002676475293762
65;16612092,42;1608088,0;140423,97;4000000,0;2532335,97;0,09680225460724953
66;13890681,54;1613480,0;140519,94;4000000,0;2527039,94;0,11615556769866024
67;15671372,47;1610784,0;140471,96;4000000,0;2529687,96;0,10278512638784852
68;16355298,45;1710431,5;142245,68;4000000,0;2431814,18;0,10457965687565916
69;16230766,14;1608088,0;140423,97;4000000,0;2532335,97;0,09907653071514219
70;18337301,360000003;1616176,0;140567,93;4000000,0;2524391,93;0,08813597858654594
71;13098196,99;1605392,0;140375,98;4000000,0;2534983,98;0,12256587690852862
72;15360697,61;1600000,0;140280,0;4000000,0;2540280,0;0,10416193591093029
73;14306412,29;1705039,5;142149,7;4000000,0;2437110,2;0,11918008969948399
74;13259769,09;1608088,0;140423,97;4000000,0;2532335,97;0,12127571672516961
75;15549395,84;1836105,5;144482,68;4000000,0;2308377,18;0,11808211192853652
76;13052207,620000001;1608088,0;140423,97;4000000,0;2532335,97;0,1232042920874101
77;11167245,18;1602696,0;140327,99;4000000,0;2537631,99;0,14351757968655973
78;16605832,440000001;1705039,5;142149,7;4000000,0;2437110,2;0,10267714709037494
79;14397679,279999997;1602696,0;140327,99;4000000,0;2537631,99;0,11131627318760502
80;16056480,8;1810079,0;144019,41;4000000,0;2333940,41;0,11273198794595139
81;14194121,040000001;1602696,0;140327,99;4000000,0;2537631,99;0,1129126626075326
82;13657975,61;1608088,0;140423,97;4000000,0;2532335,97;0,1177398500274522
83;12539999,82;1626939,1;140759,52;4000000,0;2513820,42;0,12973996198988783
84;15784555,1;1828017,5;144338,71;4000000,0;2316321,21;0,11581051783968241
85;13254999,41;1608088,0;140423,97;4000000,0;2532335,97;0,12131935658833802
86;11640677,919999998;1602696,0;140327,99;4000000,0;2537631,99;0,13768064119757042
87;13664862,67;1613480,0;140519,94;4000000,0;2527039,94;0,11807509807926961
88;17095341,560000002;1613480,0;140519,94;4000000,0;2527039,94;0,09438126722049535
89;15305376,86;1610784,0;140471,96;4000000,0;2529687,96;0,10524301457808077
90;16430047,09;1741850,0;142804,93;4000000,0;2400954,93;0,10601612950094107
91;13681759,94;1702343,5;142101,71;4000000,0;2439758,21;0,12442430706761838
92;13743262,489999998;1608088,0;140423,97;4000000,0;2532335,97;0,11700918913322743
93;13308083,870000001;1610784,0;140471,96;4000000,0;2529687,96;0,12103801086128863
94;13566343,09;1605392,0;140375,98;4000000,0;2534983,98;0,11833638507811024
95;14802448,59;1608088,0;140423,97;4000000,0;2532335,97;0,10863662117944231
96;18822016,5;1616176,0;140567,93;4000000,0;2524391,93;0,0858662513657875
97;12586620,32;1699647,5;142053,73;4000000,0;2442406,23;0,13503605072596644
98;14512158,84;1608088,0;140423,97;4000000,0;2532335,97;0,11080970224551373
99;12303233,91;1605392,0;140375,98;4000000,0;2534983,98;0,1304853676475375
100;14669536,239999998;1702343,5;142101,71;4000000,0;2439758,21;0,11604617025030099
101;12467153,940000001;1725970,21;142522,27;4000000,0;2416552,06;0,13844139715499493
